Timestamp,Current,MVoltage,Sl1Voltage,Sl2Voltage,Sl3Voltage,Sl4Voltage
1481837125.97,0.0134506225586,3.21458203125,3.21339648438,3.21727148437,3.21720703125,-1.0
1481837126.94,0.0458755493164,3.2145859375,3.21340039062,3.21728125,3.21721289062,-1.0
1481837127.94,0.0258483886719,3.2145859375,3.21340039062,3.21727734375,3.2172109375,-1.0
1481837129.01,0.0231781005859,3.2146015625,3.2133984375,3.2172734375,3.21721679688,-1.0
1481837129.94,0.0311889648438,3.2145859375,3.21339257813,3.21728515625,3.2172109375,-1.0
1481837131.16,0.0329055786133,3.21458007813,3.21340039062,3.21728320313,3.21721289062,-1.0
1481837132.17,0.0556030273438,3.21458007813,3.21340234375,3.21727929688,3.21720898438,-1.0
1481837133.21,0.0477828979492,3.21459765625,3.21339648438,3.21727929688,3.21720898438,-1.0
1481837134.21,0.0283279418945,3.21459179688,3.21340234375,3.21727539063,3.21720898438,-1.0
1481837135.21,0.0256576538086,3.21458789063,3.21340429688,3.21728125,3.2172109375,-1.0
1481837136.21,0.0319519042969,3.21459179688,3.21340039062,3.21728515625,3.2172109375,-1.0
1481837137.26,0.0393905639648,3.21457617188,3.21340234375,3.21728320313,3.21720898438,-1.0
1481837138.21,0.0224151611328,3.21459179688,3.21340234375,3.21728515625,3.21721679688,-1.0
1481837139.21,0.0403442382812,3.21458984375,3.21340429688,3.21728515625,3.2172109375,-1.0
1481837140.46,0.0395812988281,3.21459960938,3.21341015625,3.21728710937,3.21721484375,-1.0
1481837141.49,0.0407257080078,3.21458007813,3.21340039062,3.21729101562,3.21722070313,-1.0
1481837142.46,0.014404296875,3.21459179688,3.21340625,3.21729101562,3.21722070313,-1.0
1481837143.54,0.0346221923828,3.2146015625,3.21341210938,3.21728515625,3.21721679688,-1.0
1481837144.46,0.0243225097656,3.21459179688,3.21340820313,3.21728320313,3.21721875,-1.0
1481837145.47,0.0283279418945,3.21460742188,3.21340820313,3.2172890625,3.21722265625,-1.0
1481837146.5,0.0264205932617,3.21460546875,3.21340039062,3.21729296875,3.21721484375,-1.0
1481837147.53,0.0275650024414,3.21458789063,3.21340820313,3.21728710937,3.21722265625,-1.0
1481837148.47,0.0268020629883,3.21458789063,3.21341015625,3.21728710937,3.21722265625,-1.0
1481837149.47,0.0128784179688,3.214609375,3.2134140625,3.21728320313,3.21721679688,-1.0
1481837150.47,0.044921875,3.21459375,3.2134140625,3.21728710937,3.21722070313,-1.0
1481837151.47,0.0361480712891,3.21458398437,3.2134140625,3.2172890625,3.21722460938,-1.0
1481837152.53,0.0241317749023,3.21458203125,3.21341210938,3.21729101562,3.21721679688,-1.0
1481837153.47,0.0233688354492,3.21461523438,3.213421875,3.21729296875,3.21722070313,-1.0
1481837154.47,0.0292816162109,3.21459765625,3.21340820313,3.2172890625,3.21722265625,-1.0
1481837155.53,0.0311889648438,3.21460351562,3.2134140625,3.21730078125,3.21721875,-1.0
