Timestamp,Current,MVoltage,Sl1Voltage,Sl2Voltage,Sl3Voltage,Sl4Voltage
1483472322.36,0.0137481689453,3.08113085937,3.09373632812,3.09216992188,3.09597460938,-1.0
1483472323.36,-0.0177230834961,3.08126757812,3.09831445312,3.09673046875,3.10030078125,-1.0
1483472324.36,0.0126037597656,3.0813828125,3.09841015625,3.09684765625,3.10042578125,-1.0
1483472325.58,-0.0232543945312,3.08151367188,3.098515625,3.09695898438,3.10052929688,-1.0
1483472326.59,-0.0200119018555,3.08160546875,3.098625,3.09709960938,3.10065820313,-1.0
1483472327.59,-0.00971221923828,3.08172460938,3.09875976563,3.09720507813,3.10076367188,-1.0
1483472328.59,-0.0297393798828,3.08183789063,3.0988671875,3.0973125,3.10087304687,-1.0
1483472329.6,-14.8040618896,3.05190234375,3.09898242188,3.05566992187,3.06232226563,-1.0
1483472330.59,-14.8107376099,3.04708398437,3.04593359375,3.03206054687,3.055171875,-1.0
1483472331.88,-14.8084487915,3.0427578125,3.04183984375,3.02821289062,3.05166015625,-1.0
1483472332.88,-14.8090209961,3.04012890625,3.03798828125,3.02436914063,3.04817382812,-1.0
1483472333.88,-14.78956604,3.03784375,3.03550390625,3.02197851562,3.04595507812,-1.0
1483472334.88,-14.8000564575,3.03580859375,3.03334375,3.01977148438,3.04391992188,-1.0
1483472335.95,-14.820274353,3.03393554688,3.03135742188,3.01783984375,3.04211523438,-1.0
1483472336.95,-14.8034896851,3.03220507813,3.02955273438,3.01597265625,3.040375,-1.0
1483472337.95,-14.8086395264,3.03058789063,3.02783789062,3.01429882813,3.03880664063,-1.0
1483472338.95,-14.8107376099,3.02908984375,3.02630078125,3.01274414063,3.03737890625,-1.0
1483472339.98,-14.8055877686,3.02765039062,3.02487304688,3.01126953125,3.03602929688,-1.0
1483472340.95,-14.8149337769,3.0262890625,3.02346679688,3.0099140625,3.03471289063,-1.0
1483472341.95,-14.8086395264,3.02502734375,3.02216601562,3.00859179688,3.03351367188,-1.0
1483472342.95,-14.8311462402,3.02378515625,3.02089648438,3.00734375,3.03234765625,-1.0
1483472343.95,-14.8101654053,3.02262890625,3.01972851563,3.00616015625,3.03123242187,-1.0
1483472344.96,-14.7804107666,3.0215234375,3.01861328125,3.0050390625,3.03018164062,-1.0
1483472345.96,-14.8122634888,3.0204453125,3.01753125,3.00394921875,3.02915820313,-1.0
1483472346.96,-14.8132171631,3.0194140625,3.01648632813,3.00291992188,3.02818554688,-1.0
1483472347.96,-14.8107376099,3.0184453125,3.0154921875,3.00190429688,3.02725390625,-1.0
1483472348.96,-14.8172225952,3.01749414063,3.01454296875,3.00097070313,3.02634375,-1.0
1483472350.01,-14.8151245117,3.01656640625,3.0136328125,3.00001757813,3.02548242188,-1.0
1483472350.96,-14.7847976685,3.01568554687,3.01271484375,2.999140625,3.02465039063,-1.0
1483472352.2,-14.7922363281,3.01463476562,3.01189453125,2.99829882813,3.023828125,-1.0
1483472353.14,-14.8010101318,3.01382421875,3.01084960938,2.99725976562,3.02286328125,-1.0
1483472354.14,-14.7931900024,3.01303320313,3.0101015625,2.99649804688,3.02215625,-1.0
1483472355.16,-14.8015823364,3.01225,3.00929492188,2.99571679688,3.021421875,-1.0
1483472356.21,-14.779838562,3.011515625,3.0085546875,2.99496484375,3.02069726562,-1.0
1483472357.21,-14.7624816895,3.01078515625,3.00780859375,2.99420507813,3.01998632812,-1.0
1483472358.42,-14.8101654053,3.00993164063,3.00712304687,2.99352148437,3.01933007812,-1.0
1483472359.42,-14.7897567749,3.0092734375,3.00629101563,2.9926875,3.01853515625,-1.0
1483472360.42,-14.7909011841,3.00861914063,3.00564453125,2.99203125,3.01790820313,-1.0
1483472361.42,-14.7935714722,3.00797265625,3.00498828125,2.99139648438,3.01729882812,-1.0
1483472362.4,-14.8015823364,3.00734765625,3.00436914063,2.99076367187,3.01671289063,-1.0
1483472363.36,-14.805015564,3.00673242188,3.00375195313,2.99016601563,3.0161328125,-1.0
1483472364.36,-14.7912826538,3.006125,3.00316992188,2.98959765625,3.01559179687,-1.0
1483472365.41,-14.7861328125,3.00555664063,3.00259960938,2.98900195313,3.0150390625,-1.0
1483472366.43,-14.8145523071,3.00499609375,3.00202929687,2.98841210938,3.01447070313,-1.0
1483472367.43,-14.8090209961,3.00443945313,3.00144921875,2.98784765625,3.01393945312,-1.0
1483472368.7,-14.8116912842,3.00376171875,3.00091601563,2.98730859375,3.01342382813,-1.0
1483472369.7,-14.7806015015,3.00323242187,3.00023632813,2.98664453125,3.01277929688,-1.0
1483472370.71,-14.8059692383,3.00272851562,2.99973046875,2.98612304687,3.01229101563,-1.0
1483472371.71,-14.7874679565,3.00220117187,2.99921679687,2.98562890625,3.01180859375,-1.0
1483472372.68,-14.811882019,3.00171679688,2.99873242188,2.98512695312,3.01133203125,-1.0
1483472373.64,-14.8015823364,3.0012578125,2.99826171875,2.98465625,3.01090429688,-1.0
1483472374.92,-14.8139801025,3.000640625,2.99778320313,2.9842109375,3.01044335937,-1.0
1483472375.99,-14.7992935181,3.00017382812,2.99718945312,2.98360742187,3.00988476562,-1.0
1483472376.99,-14.8002471924,2.99970117187,2.99674023438,2.98313671875,3.0094296875,-1.0
1483472377.99,-14.7861328125,2.99926757812,2.99626953125,2.98268359375,3.00900585938,-1.0
1483472378.99,-14.7876586914,2.99883789062,2.9958359375,2.98224609375,3.00858203125,-1.0
1483472379.99,-14.8015823364,2.99838476563,2.99542578125,2.981828125,3.00817382812,-1.0
